Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
2020-08,-0.37,3.45,5.61,2.61,4.77,7.51,12.49,3.64,4.83,12.21,0.92,3.49,2.05,5.03,6.17,12.55,8.0,7.23,8.26,-0.55,4.76,12.29,47.55,8.86,0.29,3.39,-1.98,9.86,2.13,-1.14,-2.24,5.6,7.29,9.31,-4.04,16.37,1.76,6.38,7.12,13.02,5.11,8.02,12.24,6.43,2.2,11.73,4.12,9.99
2020-09,0.25,-3.97,-0.58,0.25,-6.55,10.98,-4.64,-4.59,-0.65,5.84,-0.73,-1.43,-1.53,1.0,-2.01,2.62,-2.54,3.92,-4.91,1.58,0.38,0.27,-10.5,-5.31,-5.9,-1.74,-6.25,2.03,8.21,-15.12,-0.32,-1.97,-2.65,-5.11,-4.65,-6.02,-0.78,-1.57,3.52,1.4,-2.35,-4.55,-0.77,-5.03,-2.33,-1.73,-4.06,-1.23
2020-10,12.55,-3.15,-2.78,-4.6,-5.69,6.66,-4.42,-6.1,-0.53,-1.76,0.13,-2.91,-5.3,-0.2,0.9,5.23,-0.87,-5.88,7.31,15.15,2.4,-0.03,-4.65,-6.22,-1.18,-7.65,-1.63,12.16,-18.97,-4.44,4.47,-3.87,-0.58,-1.05,-4.17,-4.43,3.72,-1.55,5.02,-3.38,-0.71,-3.06,-0.91,-1.32,-0.62,3.94,0.19,-2.37
2020-11,15.18,7.25,9.21,11.09,8.05,21.06,11.49,23.8,5.76,14.45,13.9,7.59,10.37,12.37,7.93,24.05,14.52,11.12,19.13,19.06,17.56,18.28,36.45,32.53,18.24,6.22,-5.56,14.17,15.97,28.72,2.68,14.48,13.49,10.35,17.95,11.82,7.62,9.29,10.79,17.44,16.11,7.47,11.18,18.31,11.9,21.42,16.88,16.61
2020-12,1.33,1.94,6.84,3.3,8.67,15.9,9.86,10.94,0.78,4.4,7.4,6.33,3.86,3.2,7.43,11.77,4.51,1.13,6.45,14.92,2.81,3.63,16.9,2.41,3.98,-1.18,5.55,9.9,27.39,6.22,0.63,5.15,2.63,3.59,7.65,7.95,3.45,1.21,2.43,0.82,3.41,0.95,4.04,7.68,4.34,10.42,8.18,2.63
2021-01,2.48,-1.32,-9.63,-6.88,-2.28,5.75,-3.87,4.14,-5.95,-4.84,5.69,1.45,3.96,-0.43,-1.29,1.27,0.82,5.92,-4.79,1.68,2.17,2.65,12.46,-7.48,0.39,-5.62,-1.58,2.11,11.2,4.82,-0.44,-3.53,-3.4,-0.19,0.13,0.73,4.72,-0.54,-5.12,-4.5,-2.53,0.71,-4.38,-3.07,-3.7,3.9,-1.28,-2.73
2021-02,12.39,-0.05,0.67,-3.32,5.73,-2.46,10.73,13.65,-0.05,4.06,-2.31,1.15,-2.09,2.49,3.7,19.97,7.19,4.14,17.42,14.98,11.86,6.49,-9.99,8.99,5.32,3.22,-6.87,14.87,4.87,23.83,-4.57,4.26,6.44,4.34,3.76,-2.59,-2.21,1.68,0.86,9.14,5.21,-3.18,7.67,14.42,3.49,18.28,9.38,5.84
2021-03,3.35,8.01,7.15,8.36,11.71,-7.8,-3.27,5.22,7.39,0.38,2.82,-0.56,-0.15,7.86,2.13,8.34,9.34,13.34,22.29,-2.61,7.26,4.43,0.98,11.63,7.67,8.58,9.3,-0.63,-13.68,2.22,10.37,1.64,6.84,0.31,7.81,0.81,1.61,8.86,5.99,7.83,8.75,5.59,3.25,5.05,9.65,-1.64,4.05,6.59
2021-04,4.21,2.7,3.22,3.58,1.43,1.51,0.29,0.32,1.62,4.94,4.73,6.09,1.64,4.42,8.95,6.31,5.13,7.0,2.85,10.81,2.25,-0.72,4.16,1.32,2.95,3.03,3.05,6.11,-0.78,0.57,3.97,3.06,-0.09,8.21,2.93,4.07,4.98,2.47,8.62,3.92,5.68,7.42,5.33,5.91,6.24,4.38,7.24,5.41
2021-05,-6.11,3.9,1.93,2.13,2.04,3.81,-0.93,2.86,0.42,-0.74,1.58,-3.12,0.89,4.82,5.38,3.17,0.01,-1.11,14.45,-5.45,2.35,-0.2,-6.51,5.2,0.38,1.43,19.96,6.63,36.76,6.17,-1.16,-0.52,0.18,-0.84,1.37,-1.49,1.1,3.67,-3.52,2.01,1.13,-2.73,-1.38,2.89,3.02,1.01,4.52,4.59
2021-06,-2.38,-3.1,-1.45,-0.97,2.0,12.69,1.1,-0.4,-0.51,8.55,0.75,3.84,4.95,-5.08,1.96,-7.34,-2.56,-4.58,-6.12,-1.18,-1.34,5.94,5.44,-2.75,-1.9,1.98,-13.27,-7.79,6.6,5.67,-1.41,-0.01,2.55,6.34,1.87,8.67,5.69,-1.72,-3.61,-4.47,-1.79,3.84,-0.73,-3.09,-3.33,-1.05,1.63,-3.54
2021-07,-3.05,-2.43,4.56,1.29,0.96,-3.8,-8.33,-2.54,3.91,4.67,2.79,5.02,2.14,0.18,4.12,0.09,-0.4,3.24,7.2,4.71,0.36,-0.43,-0.63,-1.22,1.71,-1.96,-2.73,2.25,17.24,-8.88,2.97,0.35,1.73,3.32,2.85,3.13,6.33,-0.96,-1.41,-4.5,2.36,-0.79,5.2,-0.43,0.13,4.3,1.78,0.27
2021-08,2.61,-0.56,-0.09,-1.57,3.47,-10.28,10.83,0.47,0.02,-0.57,-2.61,2.46,3.66,0.56,5.75,-0.32,3.16,1.04,3.54,13.47,1.05,1.69,2.58,-1.98,2.71,-2.51,-7.48,-1.7,22.65,-1.32,3.23,1.36,0.34,4.95,3.62,4.18,3.59,0.64,9.94,0.07,1.38,3.01,-0.97,2.03,1.92,4.05,6.1,2.04
2021-09,-4.14,-2.2,-5.95,-2.94,-7.05,-10.02,1.55,1.27,-4.15,-9.16,-8.14,-4.44,-6.39,-5.59,-7.14,-8.04,-6.59,-8.53,-10.64,2.17,-7.6,-6.25,4.49,0.4,-4.53,-3.96,-6.31,-9.65,10.9,11.25,-4.86,-5.59,-3.29,-6.36,-5.89,-5.87,-5.52,-7.24,-6.71,-2.95,-4.59,-4.54,-0.72,0.99,-3.77,-0.92,-5.6,-4.51
2021-10,2.79,2.28,5.45,5.36,-1.37,3.66,7.99,2.07,3.81,12.24,0.81,3.64,1.86,8.81,3.48,0.59,7.16,7.45,10.13,-5.18,4.85,13.45,33.95,0.03,4.34,-2.64,0.04,11.89,4.64,10.38,5.11,-4.23,11.28,8.14,5.63,7.58,6.22,1.0,0.88,9.9,6.47,5.69,0.9,4.03,10.54,6.6,11.54,4.71
2021-11,3.17,-3.44,-5.63,0.07,-7.02,-18.06,-7.88,-4.24,0.91,0.11,-11.78,-7.64,-2.11,-0.56,3.36,-4.39,4.12,3.76,-6.28,-2.25,1.22,-3.54,3.05,-6.23,-4.82,0.14,0.76,0.43,-18.72,-5.35,-1.96,-7.18,-2.11,-4.06,0.27,12.04,-0.51,-2.9,-1.59,-5.79,-1.13,2.14,-1.85,-6.26,-5.14,-8.93,-4.54,-4.23
2021-12,4.86,9.6,12.68,9.21,12.42,-2.21,-1.84,3.86,11.4,-3.67,10.16,9.21,5.27,6.44,5.86,8.7,8.08,8.82,9.8,-4.83,4.57,-4.01,-5.36,6.11,5.31,4.92,11.03,8.48,14.34,2.92,8.55,3.96,0.04,-0.1,10.76,3.43,5.08,6.07,3.02,8.44,8.75,-0.11,8.14,3.18,9.84,9.55,2.45,4.79
2022-01,1.34,1.26,0.14,-1.91,7.88,-18.32,-19.49,-5.64,-5.91,-11.14,-14.46,-10.86,-7.34,-7.56,-11.56,-12.35,-11.83,-13.44,-10.34,-19.19,-6.53,-14.42,-9.96,0.21,-3.18,5.97,-2.46,-6.52,0.66,17.83,-2.1,-1.9,-10.48,-9.08,-9.23,-6.54,-12.49,-5.06,2.55,-5.69,-6.44,-9.02,-8.3,1.89,-3.21,-7.93,-3.62,0.57
2022-02,8.15,0.9,1.45,-5.33,-0.8,-2.15,-0.66,3.42,-4.28,-5.83,4.12,1.56,-2.48,-2.63,-0.99,-7.34,-0.59,-3.91,23.9,10.58,-4.6,0.25,-7.08,9.56,5.79,10.53,8.1,11.19,35.5,8.22,-1.1,0.29,-1.87,-6.51,-1.07,-2.64,-4.11,-8.16,-1.8,-1.14,1.65,-1.78,-1.29,-1.87,1.16,-2.75,-4.27,0.2
2022-03,10.71,1.2,-0.68,3.35,-2.26,-8.96,-3.78,0.63,-2.93,-0.81,2.66,0.86,7.1,3.14,1.91,-9.06,-6.58,-5.47,15.54,13.47,2.94,1.25,16.71,-2.41,2.92,1.27,20.3,6.8,25.94,9.74,9.67,-2.44,10.64,2.58,2.48,4.61,4.31,-1.43,3.31,4.51,3.1,3.46,0.12,-4.91,6.41,-1.87,-0.09,7.9
2022-04,-0.13,2.53,4.27,3.05,6.37,-11.4,-27.97,-10.87,2.34,-6.93,-15.23,-11.58,-4.27,-2.34,-12.76,6.74,-3.13,-6.36,-6.42,-3.21,-10.17,-13.38,-17.61,-9.32,-5.33,-3.16,-9.34,-15.48,7.8,-1.4,-3.71,-10.61,-4.98,-12.67,-9.88,-13.24,-9.72,0.91,-3.86,-10.32,-2.18,-11.24,-5.14,-8.51,-3.34,-11.59,-12.71,-7.46
2022-05,7.38,-3.22,-0.3,-1.59,2.68,-1.2,-3.82,-6.96,-5.25,-6.72,-0.8,-1.82,2.08,4.84,-1.18,2.35,2.89,5.48,-8.17,2.46,3.07,-0.98,-9.75,-3.34,1.89,1.96,-6.81,-2.27,2.15,15.77,4.79,8.65,-4.33,-3.21,-2.1,-1.23,1.93,1.26,-4.54,-4.21,1.04,-5.6,-2.02,3.58,1.13,-2.27,3.99,-1.1
2022-06,-12.51,-2.01,0.46,0.02,-11.62,-11.5,-10.91,-12.4,-2.67,-11.89,-11.65,-8.11,0.87,-15.42,-6.76,-11.21,-11.79,-10.09,-21.15,-4.78,-13.65,-10.17,-11.75,-1.4,-7.73,-3.04,-11.72,-19.72,-10.72,-16.67,-6.54,-6.64,-6.22,-6.5,-7.38,-11.16,-7.43,-8.54,-8.46,-8.95,-6.34,-8.62,-8.03,-12.48,-2.05,-13.55,-9.8,-12.08
2022-07,6.48,3.64,3.3,5.43,0.55,2.89,17.11,12.08,0.7,11.79,12.88,6.3,0.51,7.66,12.62,6.9,17.73,15.33,20.45,14.41,13.57,21.64,29.04,6.33,8.26,-1.45,-21.22,8.63,3.32,10.41,6.3,-0.04,12.32,8.64,8.9,17.25,13.02,7.28,7.05,9.53,9.05,16.42,11.4,8.56,3.15,14.07,10.54,10.05
2022-08,5.22,-0.3,-4.38,-1.87,-0.13,-5.28,-2.23,-4.98,-2.13,-5.9,-3.27,-4.68,-5.38,-1.38,-5.51,-12.2,-7.86,-5.82,-1.3,-1.29,-5.04,-4.27,-5.73,-1.68,-2.37,2.09,-9.31,-2.58,14.32,3.27,0.15,-2.86,-6.8,-4.86,-3.37,-5.63,-8.39,-6.99,-9.11,-1.66,-1.61,-3.44,-1.67,-3.25,-0.85,-6.14,-1.02,-3.05
2022-09,-7.11,-7.73,-8.14,-5.27,-10.56,-15.72,-4.2,-13.4,-10.59,-17.45,-4.98,-6.03,-0.15,-11.24,-13.96,-15.52,-7.58,-7.99,-18.0,-5.59,-9.74,-10.5,-6.38,-12.79,-7.58,-8.12,3.0,-7.71,-9.66,-9.21,-11.62,-13.83,-6.36,-11.05,-10.43,-12.6,-7.89,-12.99,-13.8,-14.01,-9.5,-7.68,-6.21,-9.08,-4.45,-12.86,-8.62,-6.42
2022-10,13.74,11.26,7.12,9.47,12.07,3.91,15.0,8.78,5.66,10.88,4.9,8.34,9.44,8.93,-0.22,8.43,8.27,11.75,19.94,16.16,16.86,2.45,-7.5,15.93,17.12,25.41,1.99,9.11,12.31,23.97,3.51,10.57,11.48,2.02,11.04,9.19,5.81,12.03,5.67,7.45,13.66,2.0,10.57,13.38,12.82,6.93,11.46,10.8
2022-11,2.41,2.96,7.7,3.24,5.59,5.07,7.28,15.67,9.42,17.51,4.48,5.99,5.26,10.54,2.75,6.99,5.57,8.19,13.97,-27.64,10.0,5.63,-9.44,8.6,3.09,1.75,12.0,20.11,13.49,0.9,6.78,2.15,5.91,5.49,7.44,4.07,9.35,5.41,10.52,10.27,5.06,2.86,5.99,5.17,1.4,10.87,8.58,7.07
2022-12,-12.24,-2.38,-0.42,-4.12,1.87,-10.2,-5.39,-7.77,0.78,-0.2,-4.01,0.05,-2.0,-6.28,-2.82,-0.92,-4.6,-0.21,-7.59,-14.87,-4.17,-7.52,-29.99,1.98,-1.87,-0.96,0.51,-4.72,-12.92,-4.08,-1.21,-6.81,-8.21,-6.71,-5.79,-10.84,-2.94,-4.01,-4.26,-7.21,-5.63,-8.92,-6.42,-6.48,-3.2,-6.57,-6.56,-3.38
2023-01,9.88,-2.19,-2.62,-3.61,1.46,16.48,19.33,11.48,-0.42,9.03,3.46,1.32,-2.3,9.18,10.51,15.89,12.63,14.07,22.16,15.51,8.05,12.32,30.93,3.96,1.39,-1.77,12.23,16.54,3.89,2.75,-1.24,13.53,8.5,9.44,4.7,12.09,3.12,0.52,9.34,9.94,6.89,10.94,9.76,9.36,-0.35,16.3,8.46,2.12
2023-02,-3.37,-1.23,-2.67,0.21,-3.38,-3.79,-4.23,-4.63,-2.75,-6.02,-3.37,-2.89,-4.86,-4.53,3.02,-12.88,1.89,-0.84,2.08,-0.06,-0.85,3.31,11.94,-1.88,-0.07,2.52,-17.58,-3.43,1.22,-7.02,-5.32,-6.51,-2.68,-2.0,-1.33,3.05,-4.99,-5.04,-4.01,0.1,-0.34,-5.54,-2.54,-2.71,-3.58,-2.28,-2.18,-2.34
2023-03,-2.64,3.45,5.15,4.15,0.11,-1.23,3.04,-3.8,5.16,4.21,-1.56,4.74,2.25,-3.53,0.81,-5.77,-3.32,3.85,-8.08,-6.48,0.37,-3.83,-0.37,1.44,-4.03,0.7,14.81,-0.96,-5.75,-0.28,3.89,-0.12,0.4,10.12,6.15,11.47,3.84,0.62,-0.81,-0.13,0.61,3.55,3.34,-11.37,-4.73,-8.18,-7.57,2.41
2023-04,0.02,2.93,3.42,4.18,4.1,-3.07,0.79,1.73,4.36,2.22,3.7,7.37,3.07,-0.29,1.85,4.18,2.24,6.31,-6.84,2.07,-4.01,-5.25,-16.33,-0.58,-3.2,-2.32,-3.71,-2.3,-5.26,2.69,1.72,1.0,-0.84,2.04,-4.51,-0.98,-4.79,1.09,-1.98,-1.91,0.45,1.83,5.06,1.74,3.7,-0.48,0.31,5.38
2023-05,-10.94,-5.0,-3.82,-2.85,-8.73,-8.47,3.55,-0.64,-9.11,-13.58,-6.64,-6.09,-2.47,-7.63,-4.55,-11.37,-1.41,-0.99,-8.48,-13.88,-0.9,1.15,15.94,-4.13,-3.7,-3.86,-13.46,-4.07,-12.31,-9.54,-5.82,-9.42,-2.82,7.92,5.02,10.56,-2.78,-8.78,-6.1,-0.6,-1.27,1.96,-5.16,-3.98,-3.72,0.4,-3.65,-2.08
2023-06,6.32,-0.74,1.37,2.79,7.77,10.74,9.38,6.03,7.2,7.13,8.61,8.58,2.88,11.18,13.03,12.17,19.31,15.9,20.22,35.79,14.09,17.65,25.58,7.27,17.86,3.97,3.8,13.06,20.02,6.27,2.61,4.63,7.02,4.36,6.36,8.54,5.76,6.55,7.86,11.15,11.6,7.85,5.76,7.06,3.75,9.49,5.83,6.73
2023-07,-0.95,2.1,2.15,3.24,1.49,6.99,1.3,3.94,0.33,1.01,-0.4,-2.15,0.66,4.31,1.98,3.46,3.65,3.69,3.41,10.55,6.02,3.9,2.87,1.76,5.26,-2.37,2.05,9.42,8.7,7.42,2.79,0.97,4.02,4.63,2.8,3.59,3.26,5.01,5.55,7.42,-1.03,3.19,2.87,7.14,3.88,5.26,8.24,1.48
2023-08,-8.39,-5.31,-1.34,-4.62,-3.28,-0.89,-4.41,5.87,-1.76,-6.04,-4.36,-7.02,2.7,-4.15,3.6,-3.92,-0.6,-1.78,-1.57,-0.44,-1.79,-8.5,-4.79,-2.37,-5.57,1.99,-9.87,-5.58,3.36,1.99,-5.29,0.16,-2.51,-1.82,5.68,-2.47,-0.06,-1.6,-3.67,-5.43,-1.54,0.48,-5.12,-5.08,-1.87,-4.76,-2.48,0.48
2023-09,0.84,-4.28,-6.43,-5.13,-2.43,-7.39,-11.2,-6.19,-6.81,-4.41,-5.27,-6.91,-3.92,-6.22,-7.75,-11.92,-7.42,-9.31,-4.58,-6.14,-6.69,-7.42,-2.42,-10.61,-5.45,-8.54,-5.77,-7.03,25.88,3.0,-5.04,-3.21,-4.94,-4.42,-4.45,-8.37,-7.36,-6.54,-2.57,-4.6,-2.69,-6.13,-4.45,-3.92,2.56,-10.45,-3.47,-2.72
2023-10,-5.83,-4.98,-0.39,-4.34,-4.0,-14.3,2.8,-2.05,-0.05,4.21,-4.32,-6.36,-4.04,-6.49,-10.23,-6.24,-6.65,-5.69,-4.01,-26.0,-6.96,-12.76,-18.32,3.76,-0.49,9.36,1.82,-5.36,-10.1,-6.17,1.12,-0.18,-1.96,-0.35,-0.27,-2.88,-10.89,-2.7,-3.46,-6.73,-0.9,0.65,-1.71,-2.89,3.49,-9.05,-6.36,-1.73
2023-11,-2.29,4.26,4.79,3.9,4.76,5.69,11.02,7.9,4.97,10.63,6.08,10.04,4.55,8.01,11.06,8.43,15.47,16.75,11.15,10.81,9.91,10.01,16.51,11.26,9.62,0.75,9.91,7.91,14.17,-1.59,5.08,6.97,11.96,12.18,4.81,12.61,12.23,8.03,10.43,12.26,7.94,6.94,7.67,13.16,3.93,9.95,13.49,6.64
2023-12,6.72,4.33,2.26,0.55,0.91,10.15,3.92,8.79,0.32,4.62,9.84,7.38,6.44,8.32,5.01,16.65,11.73,16.31,9.66,4.14,10.36,13.27,6.16,6.64,9.71,3.1,2.34,13.02,4.5,0.04,1.69,2.25,9.2,3.49,4.59,6.13,8.63,4.65,3.56,8.04,4.63,6.38,5.06,9.68,-0.58,17.45,10.08,1.41
2024-01,-4.53,-1.54,-0.72,-0.82,-2.51,-5.63,7.93,-0.41,3.77,-5.16,-0.09,4.1,3.75,-5.22,0.1,-2.54,-0.06,-2.79,0.9,-12.07,-0.2,-9.07,-18.9,-2.37,1.04,-5.02,-16.77,-3.73,7.32,-0.21,-3.0,4.54,-3.49,3.55,4.22,2.5,-0.06,-6.32,-1.2,-1.52,2.94,1.35,0.62,1.56,1.72,-5.08,-2.06,4.53
2024-02,16.16,-0.92,4.32,0.1,0.0,3.69,6.45,1.49,3.0,5.98,2.91,2.77,5.47,3.53,3.51,12.11,10.07,10.83,4.87,16.86,8.63,8.19,7.21,1.98,8.93,3.84,-8.8,3.67,-7.2,3.1,2.43,-2.72,3.48,4.5,5.61,8.2,7.95,2.27,5.63,7.27,5.72,10.84,5.46,4.04,2.02,4.67,4.77,7.1
